metric,mean,std,min,max
stream_steps,25000.0,0.0,25000.0,25000.0
class1_pre,30.0,0.0,30.0,30.0
class1_post,50.0,0.0,50.0,50.0
class1_total,80.0,0.0,80.0,80.0
baseline_s,0.12864655656667054,0.0,0.12864655656667054,0.12864655656667054
pre_s_mean,0.11445513539704918,0.0,0.11445513539704918,0.11445513539704918
post_s_mean,0.3224148678194815,0.0,0.3224148678194815,0.3224148678194815
delta_s,0.20795973242243232,3.1031676915590914e-17,0.2079597324224323,0.2079597324224323
snr,1.286990738564203,0.0,1.286990738564203,1.286990738564203
pre_alarms,0.0,0.0,0.0,0.0
post_alarms,1.0,0.0,1.0,1.0
detection_delay,75.0,0.0,75.0,75.0
persistent_events,0.0,0.0,0.0,0.0
pre_d_mean,0.05609739932626021,0.0,0.05609739932626021,0.05609739932626021
post_d_mean,0.18493593014054238,0.0,0.18493593014054238,0.18493593014054238
min_d,0.016811190954898036,0.0,0.016811190954898036,0.016811190954898036
max_d,0.729870308737376,0.0,0.729870308737376,0.729870308737376
pre_r_mean,0.9840355337223352,0.0,0.9840355337223352,0.9840355337223352
post_r_mean,0.9443568415173658,1.2412670766236366e-16,0.9443568415173659,0.9443568415173659
min_r,0.5968434120745001,0.0,0.5968434120745001,0.5968434120745001
max_r,0.9957435450783615,0.0,0.9957435450783615,0.9957435450783615
edge_count,25000.0,0.0,25000.0,25000.0
cloud_count,0.0,0.0,0.0,0.0
hybrid_count,0.0,0.0,0.0,0.0
switches,0.0,0.0,0.0,0.0
pre_accuracy,0.9976,0.0,0.9976,0.9976
pre_precision,0.4988,0.0,0.4988,0.4988
pre_recall,0.5,0.0,0.5,0.5
pre_f1,0.4993992791349619,6.206335383118183e-17,0.49939927913496196,0.49939927913496196
pre_mcc,0.0,0.0,0.0,0.0
post_accuracy,0.9960000000000001,1.2412670766236366e-16,0.996,0.996
post_precision,0.49800000000000005,6.206335383118183e-17,0.498,0.498
post_recall,0.5,0.0,0.5,0.5
post_f1,0.49899799599198397,0.0,0.49899799599198397,0.49899799599198397
post_mcc,0.0,0.0,0.0,0.0
full_accuracy,0.9968,0.0,0.9968,0.9968
full_precision,0.4984,0.0,0.4984,0.4984
full_recall,0.5,0.0,0.5,0.5
full_f1,0.49919871794871795,0.0,0.49919871794871795,0.49919871794871795
full_mcc,0.0,0.0,0.0,0.0
adaptation_events,0.0,0.0,0.0,0.0
successful_deployments,0.0,0.0,0.0,0.0
