metric,config_a_mean,config_a_std,config_a_ci_lower,config_a_ci_upper,config_a_summary,config_b_mean,config_b_std,config_b_ci_lower,config_b_ci_upper,config_b_summary
post_accuracy,0.9960000000000001,0.0,0.9960000000000001,0.9960000000000001,"0.9960 +/- 0.0000 [0.9960, 0.9960]",0.9960000000000001,0.0,0.9960000000000001,0.9960000000000001,"0.9960 +/- 0.0000 [0.9960, 0.9960]"
post_macro_f1,0.49899799599198397,0.0,0.49899799599198397,0.49899799599198397,"0.4990 +/- 0.0000 [0.4990, 0.4990]",0.49899799599198397,0.0,0.49899799599198397,0.49899799599198397,"0.4990 +/- 0.0000 [0.4990, 0.4990]"
post_mcc,0.0,0.0,0.0,0.0,"0.0000 +/- 0.0000 [0.0000, 0.0000]",0.0,0.0,0.0,0.0,"0.0000 +/- 0.0000 [0.0000, 0.0000]"
post_precision,0.49800000000000005,0.0,0.49800000000000005,0.49800000000000005,"0.4980 +/- 0.0000 [0.4980, 0.4980]",0.49800000000000005,0.0,0.49800000000000005,0.49800000000000005,"0.4980 +/- 0.0000 [0.4980, 0.4980]"
post_recall,0.5,0.0,0.5,0.5,"0.5000 +/- 0.0000 [0.5000, 0.5000]",0.5,0.0,0.5,0.5,"0.5000 +/- 0.0000 [0.5000, 0.5000]"
min_r,0.5968434120745001,0.0,0.5968434120745001,0.5968434120745001,"0.5968 +/- 0.0000 [0.5968, 0.5968]",0.12611392212704003,0.0,0.12611392212704003,0.12611392212704003,"0.1261 +/- 0.0000 [0.1261, 0.1261]"
mean_post_r,0.9443568415173658,0.0,0.9443568415173658,0.9443568415173658,"0.9444 +/- 0.0000 [0.9444, 0.9444]",0.32380757818078815,0.0,0.32380757818078815,0.32380757818078815,"0.3238 +/- 0.0000 [0.3238, 0.3238]"
max_d,0.729870308737376,0.0,0.729870308737376,0.729870308737376,"0.7299 +/- 0.0000 [0.7299, 0.7299]",0.9651778611775044,0.0,0.9651778611775044,0.9651778611775044,"0.9652 +/- 0.0000 [0.9652, 0.9652]"
mean_post_d,0.18493593014054238,0.0,0.18493593014054238,0.18493593014054238,"0.1849 +/- 0.0000 [0.1849, 0.1849]",0.8926195247365453,0.0,0.8926195247365453,0.8926195247365453,"0.8926 +/- 0.0000 [0.8926, 0.8926]"
detection_delay,75.0,0.0,75.0,75.0,"75.0000 +/- 0.0000 [75.0000, 75.0000]",11.0,0.0,11.0,11.0,"11.0000 +/- 0.0000 [11.0000, 11.0000]"
persistent_events,100.0,0.0,100.0,100.0,"100.0000 +/- 0.0000 [100.0000, 100.0000]",100.0,0.0,100.0,100.0,"100.0000 +/- 0.0000 [100.0000, 100.0000]"
edge_pct,100.0,0.0,100.0,100.0,"100.0000 +/- 0.0000 [100.0000, 100.0000]",50.032,0.0,50.032,50.032,"50.0320 +/- 0.0000 [50.0320, 50.0320]"
hybrid_pct,0.0,0.0,0.0,0.0,"0.0000 +/- 0.0000 [0.0000, 0.0000]",0.08,0.0,0.08,0.08,"0.0800 +/- 0.0000 [0.0800, 0.0800]"
cloud_pct,0.0,0.0,0.0,0.0,"0.0000 +/- 0.0000 [0.0000, 0.0000]",49.888,0.0,49.888,49.888,"49.8880 +/- 0.0000 [49.8880, 49.8880]"
switches,0.0,0.0,0.0,0.0,"0.0000 +/- 0.0000 [0.0000, 0.0000]",2.0,0.0,2.0,2.0,"2.0000 +/- 0.0000 [2.0000, 2.0000]"
adaptation_triggers,2.0,0.0,2.0,2.0,"2.0000 +/- 0.0000 [2.0000, 2.0000]",2.0,0.0,2.0,2.0,"2.0000 +/- 0.0000 [2.0000, 2.0000]"
candidate_macro_f1,0.4159871540372208,0.0011056398545413158,0.4146143208348576,0.417359987239584,"0.4160 +/- 0.0014 [0.4146, 0.4174]",0.41677082500082835,0.00018170664780711357,0.41654520639801196,0.41699644360364474,"0.4168 +/- 0.0002 [0.4165, 0.4170]"
successful_deployments,0.0,0.0,0.0,0.0,"0.0000 +/- 0.0000 [0.0000, 0.0000]",0.0,0.0,0.0,0.0,"0.0000 +/- 0.0000 [0.0000, 0.0000]"
