window_id,start_index,end_index,start_time,end_time,n_rows,contiguous,valid_fraction
0,0,50,2022-08-12 16:00:01,2022-08-12 16:00:50,50,1,1.0
1,10,60,2022-08-12 16:00:11,2022-08-12 16:01:00,50,1,1.0
2,20,70,2022-08-12 16:00:21,2022-08-12 16:01:10,50,1,1.0
3,30,80,2022-08-12 16:00:31,2022-08-12 16:01:20,50,1,1.0
4,40,90,2022-08-12 16:00:41,2022-08-12 16:01:30,50,1,1.0
5,50,100,2022-08-12 16:00:51,2022-08-12 16:01:40,50,1,1.0
6,60,110,2022-08-12 16:01:01,2022-08-12 16:01:50,50,1,1.0
7,70,120,2022-08-12 16:01:11,2022-08-12 16:02:00,50,1,1.0
8,80,130,2022-08-12 16:01:21,2022-08-12 16:02:10,50,1,1.0
9,90,140,2022-08-12 16:01:31,2022-08-12 16:02:20,50,1,1.0
10,100,150,2022-08-12 16:01:41,2022-08-12 16:02:30,50,1,1.0
11,110,160,2022-08-12 16:01:51,2022-08-12 16:02:40,50,1,1.0
12,120,170,2022-08-12 16:02:01,2022-08-12 16:02:50,50,1,1.0
13,130,180,2022-08-12 16:02:11,2022-08-12 16:03:00,50,1,1.0
14,140,190,2022-08-12 16:02:21,2022-08-12 16:03:10,50,1,1.0
15,150,200,2022-08-12 16:02:31,2022-08-12 16:03:20,50,1,1.0
16,160,210,2022-08-12 16:02:41,2022-08-12 16:03:30,50,1,1.0
17,170,220,2022-08-12 16:02:51,2022-08-12 16:03:40,50,1,1.0
18,180,230,2022-08-12 16:03:01,2022-08-12 16:03:50,50,1,1.0
19,190,240,2022-08-12 16:03:11,2022-08-12 16:04:00,50,1,1.0
20,200,250,2022-08-12 16:03:21,2022-08-12 16:04:10,50,1,1.0
21,210,260,2022-08-12 16:03:31,2022-08-12 16:04:20,50,1,1.0
22,220,270,2022-08-12 16:03:41,2022-08-12 16:04:30,50,1,1.0
23,230,280,2022-08-12 16:03:51,2022-08-12 16:04:40,50,1,1.0
24,240,290,2022-08-12 16:04:01,2022-08-12 16:04:50,50,1,1.0
25,250,300,2022-08-12 16:04:11,2022-08-12 16:05:00,50,1,1.0
26,260,310,2022-08-12 16:04:21,2022-08-12 16:05:10,50,1,1.0
27,270,320,2022-08-12 16:04:31,2022-08-12 16:05:20,50,1,1.0
28,280,330,2022-08-12 16:04:41,2022-08-12 16:05:30,50,1,1.0
29,290,340,2022-08-12 16:04:51,2022-08-12 16:05:40,50,1,1.0
